,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
493,hirara,79.07,83,40,13.8,24.8,125.2833
494,jasper,74.66,70,75,13.8,37.2001,-94.3502
495,maler kotla,75.13,36,6,6.58,30.5167,75.8833
496,bud,60.26,77,100,3.15,39.447,-86.1758
497,khor,47.79,69,100,6.55,47.8861,134.9464
498,bairnsdale,62.06,56,7,3,-37.8333,147.6167
499,tazovskiy,-9.24,100,100,2.15,67.4667,78.7
500,mahur,70.63,68,0,3.13,25.1667,93.1167
501,ruatoria,,,,,,
502,pahrump,73.11,17,86,18.99,36.2083,-115.9839
503,golden,73.99,23,12,7,39.7555,-105.2211
504,starkville,72.88,69,20,3.44,33.4504,-88.8184
505,samusu,,,,,,
506,ferme-neuve,42.31,85,98,10.42,46.7001,-75.4493
507,pangody,-0.38,99,93,7.49,65.85,74.4859
508,nabire,83.84,74,100,2.48,-3.3667,135.4833
509,kieta,85.26,68,25,3.76,-6.2167,155.6333
510,mahon,55.96,88,75,11.5,39.8885,4.2658
511,awjilah,68.58,23,3,15.14,29.1081,21.2869
512,malalag,82.58,76,100,6.89,6.5958,125.3992
513,le vauclin,77.05,78,100,6.91,14.5452,-60.8388
514,berbera,81.01,80,91,2.55,10.4396,45.0143
515,madang,86.04,65,47,2.86,-5.2246,145.7966
516,vestmannaeyjar,46.53,84,100,16.33,63.4427,-20.2734
517,constitucion,51.57,84,100,9.33,-35.3333,-72.4167
518,neuquen,58.89,47,0,13.8,-38.9516,-68.0591
519,skelleftea,41,56,100,5.75,64.7507,20.9528
520,zhanatas,,,,,,
521,wanaka,56.1,52,51,1.01,-44.7,169.15
522,haines junction,44.55,29,30,10.36,60.7522,-137.5108
523,aflu,,,,,,
524,ust-kuyga,19.24,86,96,4.34,70.0167,135.6
525,moron,63.55,55,100,3.2,-34.6534,-58.6198
526,tunduru,,,,,,
527,rio grande,67.95,79,68,7.92,-32.035,-52.0986
528,dalnerechensk,51.75,67,100,11.79,45.9339,133.7225
529,cozumel,79.99,81,0,8.99,20.5083,-86.9458
530,volsk,48.07,83,99,8.63,52.0333,47.3833
531,harper,79.45,83,100,5.84,4.375,-7.7169
532,tallahassee,71.02,66,14,4.9,30.4383,-84.2807
533,souillac,75.58,88,75,6.91,-20.5167,57.5167
534,banff,46.78,34,100,6.91,51.1762,-115.5698
535,shadegan,75.15,14,0,10.42,30.6497,48.6647
536,dondo,76.51,99,100,6.53,-19.6094,34.7431
537,vila velha,73.94,89,40,3.44,-20.3297,-40.2925
538,savalou,76.17,80,99,1.01,7.9281,1.9756
539,la orilla,78.96,68,0,7.54,17.9833,-102.2333
540,yashkino,36.43,92,100,8.75,55.8736,85.4265
541,iberia,78.12,61,20,14.97,29.9502,-91.7507
542,zholymbet,31.5,76,100,14.83,51.7433,71.7122
543,prado,74.19,78,0,5.95,-17.3411,-39.2208
544,macae,71.35,94,75,2.3,-22.3708,-41.7869
545,whitehorse,41.31,30,40,9.22,60.7161,-135.0538
546,cayenne,74.08,1,100,1.14,4.9333,-52.3333
547,naro moru,57.42,97,100,4.16,-0.1676,37.0213
548,itamaraju,68.05,92,0,1.5,-17.0392,-39.5311
549,napier,66.27,86,100,3,-39.4833,176.9167
550,niquelandia,74.52,52,70,2.04,-14.4739,-48.4597
551,brigantine,53.13,74,75,8.05,39.4101,-74.3646
552,general roca,57.61,46,0,34.69,-39.0333,-67.5833
553,adrar,69.46,17,6,11.21,20.5022,-10.0711
554,beatrice,69.53,43,100,11.5,40.2681,-96.747
555,ucluelet,46.09,90,99,10.22,48.9329,-125.5528
556,konya,46.9,50,50,3.87,38.1667,32.5
557,garowe,73.38,87,52,6.67,8.4054,48.4845
558,porto santo,61.18,63,40,13.8,33.072,-16.3415
559,sataua,,,,,,
560,cajabamba,55.36,84,75,3.15,-7.6167,-78.05
561,lufilufi,89.38,78,100,9.73,-13.8745,-171.5986
562,iranshahr,71.94,21,0,0,27.2025,60.6848
563,sao miguel do araguaia,76.15,63,6,2.91,-13.275,-50.1628
564,tucurui,74.52,95,97,1.39,-3.7661,-49.6725
565,preston,45.07,84,18,1.99,53.7667,-2.7167
566,ardahan,35.64,94,100,2.28,41.1087,42.7022
567,maniitsoq,32.02,98,100,27.87,65.4167,-52.9
568,denpasar,81.72,88,20,2.3,-8.65,115.2167
569,lolua,,,,,,
570,yaan,80.02,75,100,9.75,7.3833,8.5667
571,chilakalurupet,79.74,84,3,4.7,16.0833,80.1667
572,kolyvan,31.59,79,100,17.85,55.3053,82.7391
573,aitape,85.6,67,41,3.04,-3.1374,142.3475
574,kiunga,83.03,81,91,2.19,-6.1219,141.2906
575,alice springs,69.22,32,0,9.22,-23.7,133.8833
576,burnie,59.43,51,52,5.73,-41.0667,145.9167
577,kemijarvi,37.89,85,4,9.04,66.7131,27.4306
578,esperance,60.64,63,76,9.75,-33.8667,121.9
579,chapais,33.58,98,100,9.84,49.7834,-74.8492
580,vila do maio,72.39,81,87,13.98,15.1333,-23.2167
581,xichang,64.63,69,1,2.59,27.8964,102.2634
582,sentyabrskiy,,,,,,
583,graham,47.93,83,40,9.22,47.0529,-122.2943
584,mount gambier,57.11,58,100,11.5,-37.8333,140.7667
585,pedernales,77.92,78,96,9.13,18.0384,-71.744
586,kozhva,12.43,99,100,2.19,65.1073,57.0459
587,bowen,76.44,80,100,23.87,-20.0167,148.2333
588,springbok,59.68,60,1,3.02,-29.6643,17.8865
589,kungurtug,43.32,52,100,10.18,50.5994,97.5228
590,kemin,54.12,75,92,2.57,42.7846,75.6892
591,kedrovyy,33.87,99,100,4.59,56.1667,91.8167
592,askiz,41.31,68,50,14.05,53.1319,90.5264
593,lavrentiya,31.6,79,7,4.45,65.5833,-171
594,malakal,80.89,64,100,7.27,9.5334,31.6605
595,barnala,74.82,39,3,4.23,30.3833,75.55
596,shirokiy,45.28,33,100,12.93,49.758,129.523
597,tura,73.06,78,22,5.26,25.5198,90.2201
598,diffa,86.23,13,91,7,13.3154,12.6113
599,ulladulla,65.3,60,93,6.26,-35.35,150.4667
600,verkhnevilyuysk,26.76,79,46,3.71,63.4453,120.3167
601,tarudant,,,,,,
602,chalus,56.66,94,75,4.61,36.655,51.4204
603,kalmunai,79.14,85,11,5.75,7.4167,81.8167
604,wajir,77.16,83,100,9.93,1.7471,40.0573
605,tual,82.89,75,100,4.68,-5.6667,132.75
606,pirajui,68.05,73,3,3.96,-21.9986,-49.4572
607,grand gaube,77.38,81,100,1.99,-20.0064,57.6608
608,nouadhibou,64.38,72,100,17.27,20.931,-17.0347
609,waitati,53.8,58,15,12.44,-45.75,170.5667
610,serik,53.85,68,2,1.63,36.9169,31.0989
611,caranavi,64.87,92,100,1.43,-15.8167,-67.55
612,sterling,62.37,59,100,7,39.0062,-77.4286
613,codrington,59.85,55,51,14.25,-38.2667,141.9667
614,bontang,79.41,88,100,0.74,0.1333,117.5
615,ahuimanu,77.13,70,75,18.41,21.4447,-157.8378
616,nadvoitsy,32.45,96,92,4.54,63.8667,34.3167
617,mozarlandia,74.55,52,5,3.67,-14.7447,-50.5706
618,kailua,77.56,73,75,14.97,21.4022,-157.7394
619,tautira,77.94,81,89,19.1,-17.7333,-149.15
620,juazeiro,78.98,61,0,4.61,-9.4117,-40.4986
621,montrose,62.29,21,0,20.89,38.4166,-108.2673
622,karasjok,36.86,91,100,13.4,69.4719,25.5112
623,liverpool,46.72,73,0,14.97,53.4106,-2.9779
624,namtsy,28.24,82,82,1.3,62.7161,129.6658
625,southbridge,50.14,71,85,3,42.0751,-72.0334
